	日期	事件标题	国家	区域	消费品名称	涉及的消费品数量	伤害事件	事件来源	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	高低电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
24	2021/6/9	锦州凌海一电动车商铺起火，消防赶到后20分扑灭	中国	不详	电动车	1	6月4日，锦州凌海市白台子乡王楼村一电动车商铺起火，经了解，起火的是一辆电动车，已被烧到变形，附近停放近百台电动车也受到波及。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/rain/a/20210609A000TB00	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
25	2021/6/9	小区楼下电瓶车爆燃，邻居小伙拎着灭火器直冲过来	中国	不详	电瓶车	1	6月9日，杭州西湖区一居民楼下充电区域的一辆电瓶车突然起火，不到10秒，明火就点燃了整辆电瓶车。	消费品质量安全事件统计	交通工具及相关产品	未知	https://cbgc.scol.com.cn/home/1489986	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
26	2021/6/9	电动车在家充电起火，界首一男童被困屋内陷入昏迷	中国	不详	电动车	1	6月7日，阜阳市界首一民房因电动车充电引发火灾，一名9岁男童昏迷。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/omn/20210609/20210609A01MC500.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	9	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
27	2021/6/11	定海路一建材店起火，当时有电瓶车在充电	中国	上海	电瓶车	1	6月9日，上海杨浦区定海路一家沿街店铺突发火情，可能是电瓶车充电时起火引发火灾。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/rain/a/20210611A057WP00	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
28	2021/6/12	电动车突然起火，还堵住出口！广西一私人房早上出险情	中国	广西	电动车	1	6月12日早上，在广西柳州柳南区磨滩村297号一私人楼房内，有一辆电动车突然起火，一名男子身上多处被烫伤。	消费品质量安全事件统计	交通工具及相关产品	未知	https://www.sohu.com/a/471840758_120697934	烧伤,烫伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	有	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
29	2021/6/13	宜宾一高层住户窗外的空调外机起火	中国	不详	空调	1	宜宾一小区高层住户窗外的空调外机发生火灾，随后火被扑灭，所幸未造成人员伤亡。	消费品质量安全事件统计	家用电器及电器附件	未知	https://new.qq.com/rain/a/20210613A054TY00	烧伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
30	2021/6/14	柳州一车主刚从维修店出来电车秒变火球	中国	不详	电动车	1	6月12日，柳州桂中菜市附近，一名外卖小哥的两轮电动车突然蹿起火苗，浓烟滚滚。	消费品质量安全事件统计	交通工具及相关产品	未知	http://news.gxnews.com.cn/staticpages/20210614/newgx60c6ad5e-20307830.shtml	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
31	2021/6/14	福州一小区15层楼道起火，窗户被烧黑，又是因为电动车	中国	不详	电动车	1	6月14日，福州市一小区高层突发电动车起火事件，所幸物业工作人员及消防及时赶到将火扑灭，未造成人员伤亡	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/omn/20210614/20210614A0972R00.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
32	2021/6/14	老余杭一小区两辆电瓶车充电爆燃！	中国	不详	电瓶车	1	近日，余杭街道某小区发生火灾，经消防队员对现场初步勘查，确认起火原因为地下车库电瓶车充电造成的两辆电瓶车爆燃。	消费品质量安全事件统计	交通工具及相关产品	未知	http://www.yidianzixun.com/article/0V3fjRf5	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
33	2021/6/15	揭阳马牙路一电动车突然自燃，瞬间火光冲天！	中国	不详	电动车	1	揭阳一辆电动车停靠在人行道旁边，旁边车辆在等红灯，该电动车突然冒烟，瞬间起火。	消费品质量安全事件统计	交通工具及相关产品	未知	https://www.163.com/dy/article/GCH5OKTK0534J7XZ.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
34	2021/6/15	北京一家三口被困火场，避难空调外挂机，他们从“天”而降	中国	北京	电动车	1	6月13日清晨，北京石景山区一小区突发火灾，一家三口被困火场！消防员紧急出动，将这一家三口成功救出。起火住户表示起火原因与电动车充电有关，电瓶起火后，仅仅两分钟就烟雾弥漫。	消费品质量安全事件统计	交通工具及相关产品	未知	https://www.163.com/dy/article/GCI87GTC0534KXLK.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
35	2021/6/16	福建漳州电动车充电时突然起火，女子趴防盗网上求助！	中国	福建	电动车	1	6月15日，漳州市南靖县山城镇翠眉村一住宅的柴火间，一辆电动车在充电时，突然起火冒烟，因为柴火间紧靠住户楼梯，瞬间楼道内浓烟滚滚。	消费品质量安全事件统计	交通工具及相关产品	未知	https://view.inews.qq.com/a/20210616A08LMX00	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	是	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
36	2021/6/16	浏阳古港一居民楼突然起火，浓烟滚滚！	中国	湖南	电动车	1	6月13日，湖南浏阳古港镇车站路一居民楼冒出滚滚浓烟，消防员组成搜救组进行人员搜救疏散。十余分钟楼栋13名群众成功疏散，其中多为老人和小孩，起火原因为一楼电动车起火所致。	消费品质量安全事件统计	交通工具及相关产品	未知	https://kuaibao.qq.com/s/20210616A0457P00	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
37	2021/6/16	太原一住宅楼电动车起火，浓烟大火封死楼道口……	中国	不详	电动车	1	6月14日，太原小店区永康南路一低层住宅楼的楼道内，停放着的电动自行车发生火灾，导致楼道口基本被火与烟封死。	消费品质量安全事件统计	交通工具及相关产品	未知	https://kuaibao.qq.com/s/20210616A05NB900	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
38	2021/6/17	电冰箱短路惹火灾 巡警协助消防扑火	中国	不详	电冰箱	1	6月15日，蓬江一小区居民房发生火灾，经查，事故原因系屋主家中的电冰箱短路引发起火。	消费品质量安全事件统计	家用电器及电器附件	未知	https://kuaibao.qq.com/s/20210617A0AMZ800	烧伤,电击伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,触电危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	未知	未知	是	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
39	2021/6/18	福州一电动车楼道起火烧得面目全非	中国	不详	电动车	1	6月14日，福州飞凤水岸小区楼道一辆电动车起火，车主否认当时在充电。	消费品质量安全事件统计	交通工具及相关产品	未知	http://video.sina.com.cn/p/news/2021-06-18/detail-ikqcfnca1688822.d.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
40	2021/6/19	好痛！“小电驴”凌晨起火，14辆车被烧	中国	江西	电动车	1	6月16日，江西南昌新建区兴国路附近一处电动车车棚发生大火，原因为电动自行车在充电时突然起火。据统计，现场共有14辆车被烧毁。	消费品质量安全事件统计	交通工具及相关产品	未知	https://kuaibao.qq.com/s/20210619A099B200	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
41	2021/6/20	电话手表自燃爆炸！4岁女童三度烧伤！ 	中国	福建	手表	1	福建泉州4岁女童所佩戴的电话手表突然发生自燃爆炸，孩子的手背皮肤被严重烧伤。经医生诊断，其手背属于三度烧伤！	消费品质量安全事件统计	日用杂品	未知	https://www.sohu.com/na/473083666_121106842	烧伤	2	物理危害	高/低温物质危害	高温物质危害	4	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	有	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
42	2021/6/20	路遇电动车起火，铁骑出手帮灭火	中国	不详	电动车	1	近日，深圳宝安兴业路一辆电动车因线路短路导致起火。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/rain/a/20210620A03B6U00	烧伤,电击伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,触电危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	是	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
43	2021/6/22	清远一民宅发生火警，初步分析起火原因是屋主在家中对电动车充电……	中国	不详	电动车	1	6月19日，清远市清新区一居民楼发生火灾，原因为屋主在家中对电动车充电引发。	消费品质量安全事件统计	交通工具及相关产品	未知	https://www.163.com/news/article/GD3DQSDE00019K82.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
44	2021/6/23	宜宾一电瓶车突然起火	中国	不详	电瓶车	1	6月22日，宜宾市叙州区山水原著一期停车棚内一电瓶车突然起火，随即火势向整个车棚蔓延开来，现场火光冲天。	消费品质量安全事件统计	交通工具及相关产品	未知	https://www.163.com/dy/article/GD62ORJU05149FGH.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
45	2021/6/23	浦东一小区非机动车棚起火，近10辆电瓶车烧毁	中国	不详	电瓶车	1	6月21日，浦东新区周康四村内，一处露天非机动车停车棚发生火灾，近10辆电瓶车被烧毁。	消费品质量安全事件统计	交通工具及相关产品	未知	http://k.sina.com.cn/article_7494521253_1beb551a500100y2b0.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
46	2021/6/24	四川成都一小区上百辆电动车起火，车棚跟车子半小时之内烧成废铁	中国	四川	电动车	1	6月23日，四川成都上善清波小区，一处停放200多台电动车的车棚起火，仅仅半个小时，就直接把停放的200多台电动车烧成了废铁。	消费品质量安全事件统计	交通工具及相关产品	未知	https://www.163.com/dy/article/GD8FT8V00534VALK.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
47	2021/6/24	女子家中洗澡 电热水器起火	中国	不详	电热水器	1	6月15日，柳州市北雀路品尚小区，徐女士在家中洗澡时，电热水器突然冒烟起火，把她吓得不轻，所幸火势被巡警和物业人员及时扑灭。	消费品质量安全事件统计	家用电器及电器附件	未知	https://emwap.eastmoney.com/a/202106241972452882.html	烧伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
48	2021/6/24	绍兴男子骑电动车半路突然起火，路人赶紧做了这事！	中国	不详	电动车	1	6月23日，男子章某骑电动车通过嵊州市区富民街时，突然起火。	消费品质量安全事件统计	交通工具及相关产品	未知	http://cdn.m.api.shaoxing.com.cn/v2/article?areas=&clientid=1&contentid=2874479&modules=common:3&sharesiteid=10001&siteid=&type=android	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
